,tweet_id,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,year,month,day,prediction1,prediction1_confidence,prediction1_dog,prediction2,prediction2_confidence,prediction2_dog,prediction3,prediction3_confidence,prediction3_dog,favourite_count,retweet_count
1,892177421306343426,https://twitter.com/dog_rates/status/892177421306343426,13,10,Tilly,None,2017,8,1,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,33819,6514
2,891815181378084864,https://twitter.com/dog_rates/status/891815181378084864,12,10,Archie,None,2017,7,31,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,25461,4328
3,891689557279858688,https://twitter.com/dog_rates/status/891689557279858688,13,10,Darla,None,2017,7,30,paper_towel,0.1702779999999999,False,labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,42908,8964
4,891327558926688256,https://twitter.com/dog_rates/status/891327558926688256,12,10,Franklin,None,2017,7,29,basset,0.555712,True,english_springer,0.2257699999999999,True,german_short-haired_pointer,0.175219,True,41048,9774
5,891087950875897856,https://twitter.com/dog_rates/status/891087950875897856,13,10,None,None,2017,7,29,chesapeake_bay_retriever,0.425595,True,irish_terrier,0.116317,True,indian_elephant,0.0769021999999999,False,20562,3261
6,890971913173991426,https://twitter.com/dog_rates/status/890971913173991426,13,10,Jax,None,2017,7,28,appenzeller,0.341703,True,border_collie,0.199287,True,ice_lolly,0.193548,False,12041,2158
7,890729181411237888,https://twitter.com/dog_rates/status/890729181411237888,13,10,None,None,2017,7,28,pomeranian,0.566142,True,eskimo_dog,0.1784059999999999,True,pembroke,0.0765069,True,56848,16716
8,890609185150312448,https://twitter.com/dog_rates/status/890609185150312448,13,10,Zoey,None,2017,7,27,irish_terrier,0.4875739999999999,True,irish_setter,0.193054,True,chesapeake_bay_retriever,0.118184,True,28226,4429
9,890006608113172480,https://twitter.com/dog_rates/status/890006608113172480,13,10,Koda,None,2017,7,26,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True,31166,7624
10,889880896479866881,https://twitter.com/dog_rates/status/889880896479866881,13,10,Bruno,None,2017,7,25,french_bulldog,0.377417,True,labrador_retriever,0.151317,True,muzzle,0.0829811,False,28268,5156
11,889638837579907072,https://twitter.com/dog_rates/status/889638837579907072,12,10,Ted,None,2017,7,25,french_bulldog,0.99165,True,boxer,0.00212864,True,staffordshire_bullterrier,0.00149818,True,27672,4735
12,889278841981685760,https://twitter.com/dog_rates/status/889278841981685760,13,10,Oliver,None,2017,7,24,whippet,0.626152,True,borzoi,0.194742,True,saluki,0.0273507,True,25652,5637
13,888917238123831296,https://twitter.com/dog_rates/status/888917238123831296,12,10,Jim,None,2017,7,23,golden_retriever,0.714719,True,tibetan_mastiff,0.1201839999999999,True,labrador_retriever,0.1055059999999999,True,29611,4709
14,888804989199671297,https://twitter.com/dog_rates/status/888804989199671297,13,10,Zeke,None,2017,7,22,golden_retriever,0.46976,True,labrador_retriever,0.184172,True,english_setter,0.0734817,True,26080,4559
15,888554962724278272,https://twitter.com/dog_rates/status/888554962724278272,13,10,Ralphus,None,2017,7,22,siberian_husky,0.700377,True,eskimo_dog,0.166511,True,malamute,0.111411,True,20290,3732
16,888078434458587136,https://twitter.com/dog_rates/status/888078434458587136,12,10,Gerald,None,2017,7,20,french_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True,22201,3653
17,887705289381826560,https://twitter.com/dog_rates/status/887705289381826560,13,10,Jeffrey,None,2017,7,19,basset,0.821664,True,redbone,0.0875815,True,weimaraner,0.0262364,True,30779,5609
18,887517139158093824,https://twitter.com/dog_rates/status/887517139158093824,14,10,such,None,2017,7,19,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False,46959,12082
19,887473957103951883,https://twitter.com/dog_rates/status/887473957103951883,13,10,Canela,None,2017,7,19,pembroke,0.809197,True,rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,69871,18781
20,887343217045368832,https://twitter.com/dog_rates/status/887343217045368832,13,10,None,None,2017,7,18,mexican_hairless,0.330741,True,sea_lion,0.275645,False,weimaraner,0.134203,True,34222,10737
21,887101392804085760,https://twitter.com/dog_rates/status/887101392804085760,12,10,None,None,2017,7,18,samoyed,0.733942,True,eskimo_dog,0.0350295,True,staffordshire_bullterrier,0.0297047,True,31061,6167
22,886983233522544640,https://twitter.com/dog_rates/status/886983233522544640,13,10,Maya,None,2017,7,17,chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False,35859,8084
23,886736880519319552,https://twitter.com/dog_rates/status/886736880519319552,13,10,Mingus,None,2017,7,16,kuvasz,0.309706,True,great_pyrenees,0.186136,True,dandie_dinmont,0.0863463,True,12306,3443
24,886680336477933568,https://twitter.com/dog_rates/status/886680336477933568,13,10,Derek,None,2017,7,16,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441726999999999,False,22798,4610
25,886258384151887873,https://twitter.com/dog_rates/status/886258384151887873,13,10,Waffles,None,2017,7,15,pug,0.943575,True,shower_cap,0.0252856,False,siamese_cat,0.00284892,False,28469,6523
26,885984800019947520,https://twitter.com/dog_rates/status/885984800019947520,12,10,Jimbo,None,2017,7,14,blenheim_spaniel,0.972494,True,shih-tzu,0.00663012,True,bernese_mountain_dog,0.00623915,True,33382,7097
27,885528943205470208,https://twitter.com/dog_rates/status/885528943205470208,13,10,Maisey,None,2017,7,13,pug,0.369275,True,labrador_retriever,0.265835,True,kuvasz,0.134697,True,36689,6683
29,885167619883638784,https://twitter.com/dog_rates/status/885167619883638784,13,10,None,None,2017,7,12,malamute,0.8124819999999999,True,siberian_husky,0.0717125,True,eskimo_dog,0.0557697,True,22367,4556
30,884925521741709313,https://twitter.com/dog_rates/status/884925521741709313,12,10,Earl,None,2017,7,12,italian_greyhound,0.259916,True,american_staffordshire_terrier,0.198451,True,staffordshire_bullterrier,0.127725,True,68152,16439
31,884876753390489601,https://twitter.com/dog_rates/status/884876753390489601,13,10,Lola,None,2017,7,11,chow,0.822103,True,norwich_terrier,0.106075,True,norfolk_terrier,0.0373485,True,28514,6096
32,884562892145688576,https://twitter.com/dog_rates/status/884562892145688576,13,10,Kevin,None,2017,7,11,pug,0.5464060000000001,True,french_bulldog,0.404291,True,brabancon_griffon,0.0440019,True,24765,5100
33,884441805382717440,https://twitter.com/dog_rates/status/884441805382717440,14,10,None,None,2017,7,10,pembroke,0.993225,True,cardigan,0.00321648,True,chihuahua,0.00208089,True,27478,5856
34,883838122936631299,https://twitter.com/dog_rates/status/883838122936631299,12,10,Noah,None,2017,7,9,doberman,0.610946,True,miniature_pinscher,0.299603,True,kelpie,0.0630203,True,22349,3586
35,883482846933004288,https://twitter.com/dog_rates/status/883482846933004288,5,10,Bella,None,2017,7,8,golden_retriever,0.943082,True,labrador_retriever,0.032409,True,kuvasz,0.00550072,True,46860,10407
36,883117836046086144,https://twitter.com/dog_rates/status/883117836046086144,13,10,None,None,2017,7,7,golden_retriever,0.949562,True,labrador_retriever,0.0459479,True,kuvasz,0.00247094,True,37914,6949
